Rank,Team,2024,Last 3,Last 1,Home,Away,2023
1,Arizona,0.77,0.67,0.00,0.78,0.75,0.56
2,LA Dodgers,0.65,1.33,0.00,0.73,0.57,0.70
3,NY Yankees,0.64,1.00,3.00,0.61,0.67,0.46
4,Philadelphia,0.63,0.00,0.00,0.67,0.60,0.57
5,Miami,0.61,2.33,2.00,0.69,0.53,0.44
6,San Diego,0.60,0.00,0.00,0.48,0.72,0.68
7,Seattle,0.58,0.00,0.00,0.37,0.79,0.54
8,Toronto,0.56,0.33,0.00,0.68,0.43,0.39
9,Boston,0.54,0.33,0.00,0.67,0.41,0.51
10,Baltimore,0.52,0.00,0.00,0.61,0.43,0.52
11,Atlanta,0.52,0.33,1.00,0.63,0.41,0.88
12,Texas,0.51,1.00,0.00,0.48,0.54,0.53
13,Chi Cubs,0.49,0.00,0.00,0.56,0.43,0.54
14,Cleveland,0.49,0.33,0.00,0.59,0.39,0.43
15,Milwaukee,0.48,1.00,0.00,0.61,0.36,0.58
16,Colorado,0.48,0.67,0.00,0.57,0.39,0.49
17,St. Louis,0.46,0.67,0.00,0.46,0.45,0.55
18,Minnesota,0.44,0.00,0.00,0.54,0.35,0.53
18,Oakland,0.44,0.00,0.00,0.42,0.47,0.44
20,Houston,0.44,0.33,0.00,0.53,0.35,0.70
21,Cincinnati,0.44,0.00,0.00,0.48,0.40,0.51
22,Kansas City,0.43,0.00,0.00,0.53,0.33,0.57
23,Detroit,0.43,0.33,0.00,0.52,0.34,0.47
24,NY Mets,0.42,1.67,1.00,0.44,0.41,0.36
25,Tampa Bay,0.42,0.00,0.00,0.36,0.48,0.68
26,SF Giants,0.41,0.67,0.00,0.46,0.37,0.44
27,Washington,0.41,1.67,1.00,0.52,0.30,0.62
28,LA Angels,0.38,0.33,0.00,0.46,0.31,0.50
29,Pittsburgh,0.38,0.00,0.00,0.47,0.28,0.43
30,Chi Sox,0.35,0.00,0.00,0.33,0.36,0.45
